"","relief.mean"
"851",14.75
"852",16.15
"853",13.9
"854",21.3
"855",16.4
"856",15.95
"857",31.8
"858",18.45
"859",16.45
"860",18.75
"861",15.5
"862",16.3
"863",13.8
"864",22.25
"865",27.7
"866",23
"867",25.85
"868",11.05
"869",9.35
"870",18.2
"871",14.85
"872",21.6
"873",10.85
"874",19.2
"875",19.95
"876",18.6
"877",11.15
"878",13.25
"879",13.5
"880",21.25
"881",13.9
"882",24.9
"883",17.05
"884",14.95
"885",12.9
"886",16.85
"887",17.8
"888",17.8
"889",12
"890",12.1
"891",24.8
"892",13.35
"893",11.7
"894",18.45
"895",14.7
"896",15.9
"897",11.35
"898",16.55
"899",19.75
"900",18.05
"901",10.8
"902",25.6
"903",13.45
"904",11.45
"905",12.85
"906",16.25
"907",17.15
"908",23.7
"909",12.75
"910",22.2
"911",16.6
"912",11.65
"913",14.05
"914",14.25
"915",17.95
"916",21.8
"917",16.5
"918",16.85
"919",12.4
"920",14.9
"921",18.5
"922",16.05
"923",14
"924",11.95
"925",15.75
"926",15.05
"927",24.9
"928",15.55
"929",17
"930",14.6
"931",18.75
"932",13
"933",18.45
"934",26
"935",13.35
"936",20.8
"937",18.9
"938",18.8
"939",18.7
"940",18.9
"941",13.7
"942",23.65
"943",15.7
"944",13.5
"945",16.5
"946",14.75
"947",17.25
"948",19.85
"949",17.05
"950",15.2
"951",13.95
"952",10.35
"953",17
"954",12.05
"955",16.85
"956",16
"957",19.75
"958",15.2
"959",29.6
"960",14.4
"961",28.45
"962",14.45
"963",23.4
"964",19.4
"965",10.75
"966",22.4
"967",21.2
"968",16.25
"969",16.7
"970",10.8
"971",14.45
"972",23.15
"973",20.3
"974",17.9
"975",18.3
"976",13.7
"977",16.95
"978",15.4
"979",20.35
"980",19.65
"981",11.45
"982",12.5
"983",10.6
"984",17.7
"985",19.85
"986",22.15
"987",16.35
"988",20.45
"989",17.7
"990",15.8
"991",12.15
"992",11.1
"993",22
"994",27.85
"995",16.1
"996",17.7
"997",17.2
"998",20.5
"999",23.65
"1000",15.15
"1001",12.35
"1002",17.15
"1003",10.5
