"","bathy.mean"
"653",9.35
"654",7.775
"655",9.275
"656",9.325
"657",9.275
"658",6.625
"659",10
"660",8.325
"661",8.225
"662",8.8
"663",7.45
"664",8.025
"665",8.225
"666",8.625
"667",7.95
"668",7.975
"669",7.275
"670",7.5
"671",10.225
"672",9.15
"673",7.75
"674",9.95
"675",7.925
"676",7.25
"677",8.7
"678",9.8
"679",11.05
"680",9.975
"681",8.8
"682",9.2
"683",7.15
"684",6.175
"685",7.6
"686",7.475
"687",9.75
"688",8.225
"689",9.55
"690",7.95
"691",6.525
"692",8.05
"693",9.5
"694",8.225
"695",11.275
"696",8.3
"697",9.275
"698",11.375
"699",7.925
"700",9.175
"701",6.2
"702",12.425
"703",7.925
"704",10.6
"705",10.875
"706",8.2
"707",9.225
"708",9.85
"709",10.3
"710",8
"711",8.125
"712",8.95
"713",8.925
"714",11.325
"715",10.025
"716",6.6
"717",8.825
"718",11.225
"719",10.875
"720",8.625
"721",8
"722",7.025
"723",8.8
"724",6.525
"725",11.95
"726",7.85
"727",8.825
"728",6
"729",9.525
"730",6.95
"731",10.7
"732",11.25
"733",9.25
"734",9.125
"735",6.9
"736",8.925
"737",7.85
"738",9.5
"739",9.425
"740",10.8
"741",4.425
"742",8.925
"743",7.725
"744",9.75
"745",8.825
"746",8.375
"747",8.675
"748",8.85
"749",8.225
"750",8.9
"751",5.7
"752",7.5
"753",8.9
"754",9.225
"755",6.85
"756",11.1
"757",9.125
"758",7.625
"759",10.275
"760",8.55
"761",10
"762",9.15
"763",9.9
"764",8.05
"765",8.6
"766",13.4
"767",11.525
"768",8.175
"769",9.1
"770",8
"771",9.175
"772",11.25
"773",10.175
"774",5.025
"775",9.275
"776",9.1
"777",8.6
"778",8.35
"779",9.8
"780",4.8
"781",10.775
"782",8.75
"783",7.8
"784",13.1
"785",7.725
"786",10.35
"787",8.675
"788",11.075
"789",8.85
"790",8.2
"791",10.725
"792",7.875
"793",9.9
"794",9.425
"795",9.775
"796",9.75
"797",9.525
"798",9.7
"799",9.35
"800",9.925
"801",12.875
"802",10.125
"803",10.35
"804",5.85
"805",7.55
"806",12.65
"807",7.575
"808",10.95
"809",10
"810",12.75
"811",8.175
"812",7.225
"813",8.1
"814",9.675
"815",8.55
"816",8.425
"817",9.125
"818",10.875
"819",8.95
"820",7.475
"821",8.4
"822",11.1
"823",9.2
"824",8.275
"825",9.95
"826",7.325
"827",7.675
"828",5.125
"829",7.675
"830",6.05
"831",13.55
"832",7.15
"833",8.35
"834",8.4
"835",8.85
"836",10.075
"837",10.1
"838",7.75
"839",10.575
"840",5.025
"841",8.55
"842",7.85
"843",10.2
"844",8.325
"845",8.225
"846",9.225
"847",7.4
"848",9.05
"849",8.75
"850",8.7
"851",8.825
"852",10.8
"853",5.35
"854",6.225
"855",8.725
"856",8.85
"857",9.275
"858",7.975
"859",8.975
"860",7.85
"861",7.325
"862",10.45
"863",8.55
"864",7.725
"865",10.325
"866",8.4
"867",7.55
"868",8.375
"869",8.125
"870",7.7
"871",9.425
"872",8.525
"873",7.7
"874",9.225
"875",6.625
"876",10.35
"877",10.275
"878",7.725
"879",8.725
"880",13.9
"881",9.2
"882",11.5
"883",8.825
"884",9.2
"885",7.125
"886",8.6
"887",8.225
"888",8.05
"889",7.7
"890",8.9
"891",8.725
"892",8.525
"893",9.725
"894",8.725
"895",7.9
"896",8.95
"897",9.875
"898",7.3
"899",10.725
"900",7.325
"901",8.85
"902",6.95
"903",8.5
"904",6.65
"905",8.4
"906",9.2
"907",8.525
"908",6.575
"909",7.925
"910",7.275
"911",9.4
"912",8.15
"913",8.95
"914",8.35
"915",10.75
"916",9.975
"917",9.15
"918",6.025
"919",10.75
"920",9.35
"921",7.075
"922",6.725
"923",8.275
"924",8.025
"925",8.075
"926",9.525
"927",9.925
"928",8.75
"929",9.625
"930",9.825
"931",7.775
"932",12.675
"933",10.65
"934",10.35
"935",11.1
"936",8.45
"937",7.225
"938",12.725
"939",8
"940",8.425
"941",11.575
