Dot Point Measurements																									
																									
Generated: Saturday 28 March 2020 16:12:21																									
																									
filename	frame	time.mins	image.row	image.col	date	location	site.	transect.	latitude	longitude	rugosity	depth	collector	fishing.status	spare	spare.1	broad			fieldofview	relief	bedforms			radius.
10.01.JPG	0		1725	3311													Unconsolidated	Sand / mud (coarse sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001014	84
10.01.JPG	0		2414	3311													Unconsolidated	Sand / mud (coarse sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001014	100
10.02.JPG	0		346	369													Open Water			Open					100
10.02.JPG	0		1035	369													Open Water			Open					84
10.02.JPG	0		1725	369													Octocoral/Black	Fan (2D)		Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope."			11168912	84
10.02.JPG	0		2414	369													Octocoral/Black	Branching (3D)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			11168902	100
10.02.JPG	0		346	1104													Open Water			Open					70.6
10.02.JPG	0		1035	1104													Open Water			Open					45.2
10.02.JPG	0		1725	1104													Unconsolidated	Sand / mud (coarse sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001014	45.2
10.02.JPG	0		2414	1104													Unconsolidated	Sand / mud (coarse sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001014	70.6
10.02.JPG	0		346	1840													Open Water			Open					57.5
10.02.JPG	0		1035	1840													Octocoral/Black	Branching (3D)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			11168902	19.2
10.02.JPG	0		1725	1840													Unconsolidated	Sand / mud (coarse sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001014	19.2
10.02.JPG	0		2414	1840													Unconsolidated	Sand / mud (coarse sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001014	57.5
10.02.JPG	0		346	2576													Open Water			Open					70.6
10.02.JPG	0		1035	2576													Octocoral/Black	Fan (2D)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			11168912	45.2
10.02.JPG	0		1725	2576													Unconsolidated	Sand / mud (coarse sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001014	45.2
10.02.JPG	0		2414	2576													Unconsolidated	Sand / mud (coarse sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001014	70.6
10.02.JPG	0		346	3311													Open Water			Open					100
10.02.JPG	0		1035	3311													Unknown			Open					84
10.02.JPG	0		1725	3311													Unconsolidated	Sand / mud (coarse sand)		Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope."			82001014	84
10.02.JPG	0		2414	3311													Unconsolidated	Sand / mud (coarse sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001014	100
10.03.JPG	0		346	369													Open Water			Open					100
10.03.JPG	0		1035	369													Open Water			Open					84
