"","ID","bathymetry","TPI","sample","scientific","maxn","longitude","latitude"
"1447",1447,NA,NA,10.12,"Congridae Conger spp",0,765014.537001473,7498893.50295101
"1448",1448,-82.1236267089844,-0.0755893811583519,10.13,"Congridae Conger spp",0,765062.805497171,7494255.3888656
"1449",1449,-74.9313430786133,0.103835061192513,10.14,"Congridae Conger spp",0,766392.295086729,7495783.60009627
"1450",1450,-88.7407073974609,0.105500407516956,10.15,"Congridae Conger spp",0,766667.305747999,7497791.83346488
"1451",1451,-89.4551010131836,0.0406838357448578,6.04,"Congridae Heteroconger hassi",0,760863.057192233,7481723.50636682
"1452",1452,-90.9299240112305,-0.050831638276577,6.05,"Congridae Heteroconger hassi",0,760980.795984866,7482893.46094986
"1453",1453,-95.1537399291992,0.142544746398926,6.12,"Congridae Heteroconger hassi",0,761074.116123975,7484063.8338796
"1454",1454,-79.7921295166016,0.0863062366843224,7.01,"Congridae Heteroconger hassi",0,761994.724647816,7483640.36856162
"1455",1455,-78.8450927734375,-0.0627537444233894,7.02,"Congridae Heteroconger hassi",0,762243.663078039,7483916.33786622
"1456",1456,-77.537353515625,-0.140930309891701,7.03,"Congridae Heteroconger hassi",0,762476.090298544,7484651.19094084
"1457",1457,-70.3975296020508,-0.00435680104419589,7.04,"Congridae Heteroconger hassi",0,763252.438954012,7484357.52638535
"1458",1458,-67.7771682739258,0.00293297809548676,7.05,"Congridae Heteroconger hassi",0,764299.940499012,7484211.98347622
"1459",1459,-67.5841751098633,-0.0166199840605259,7.08,"Congridae Heteroconger hassi",0,764540.521894601,7484003.97630259
"1460",1460,-89.079948425293,0.526582837104797,8.01,"Congridae Heteroconger hassi",0,761913.859428033,7486036.6765009
"1461",1461,-80.2089385986328,0.923622250556946,8.02,"Congridae Heteroconger hassi",0,762567.507192634,7487120.97231703
"1462",1462,-64.9225158691406,0.0362119898200035,8.05,"Congridae Heteroconger hassi",0,765036.916426606,7487197.3720496
"1463",1463,-63.8236236572266,-0.00767078530043364,8.06,"Congridae Heteroconger hassi",0,765215.02745971,7487802.6125547
"1464",1464,-65.5418014526367,0.148975670337677,8.07,"Congridae Heteroconger hassi",0,764832.138995991,7487896.80727465
"1465",1465,-99.5442276000977,-0.0393386706709862,8.12,"Congridae Heteroconger hassi",0,761695.080688299,7487518.1443205
"1466",1466,-117.573989868164,-0.0350268818438053,9.01,"Congridae Heteroconger hassi",0,760519.168204034,7487308.98960317
"1467",1467,-162.654724121094,-0.0211295951157808,9.02,"Congridae Heteroconger hassi",0,759027.631303557,7487207.02515307
"1468",1468,-136.033355712891,-0.0687120333313942,9.06,"Congridae Heteroconger hassi",0,760119.739825218,7488232.99807277
"1469",1469,-132.870834350586,-0.0665610581636429,9.07,"Congridae Heteroconger hassi",0,759427.087449943,7486283.04916743
"1470",1470,-178.383865356445,-0.0571325607597828,9.08,"Congridae Heteroconger hassi",0,758203.779415503,7486150.96938823
"1471",1471,-97.585807800293,0.104066781699657,10.01,"Congridae Heteroconger hassi",0,762667.658995623,7490100.15569396
"1472",1472,-99.3325729370117,0.0609821788966656,10.02,"Congridae Heteroconger hassi",0,762672.481205213,7490380.32767487
"1473",1473,-90.8180694580078,-0.144142180681229,10.03,"Congridae Heteroconger hassi",0,763340.653483073,7490878.37260373
"1474",1474,-161.060394287109,-0.0369151346385479,10.09,"Congridae Heteroconger hassi",0,763066.279616948,7495267.17920371
"1475",1475,-165.15934753418,0.00985708460211754,10.11,"Congridae Heteroconger hassi",0,763517.963020068,7496528.13186412
"1476",1476,NA,NA,10.12,"Congridae Heteroconger hassi",0,765014.537001473,7498893.50295101
"1477",1477,-82.1236267089844,-0.0755893811583519,10.13,"Congridae Heteroconger hassi",0,765062.805497171,7494255.3888656
"1478",1478,-74.9313430786133,0.103835061192513,10.14,"Congridae Heteroconger hassi",0,766392.295086729,7495783.60009627
"1479",1479,-88.7407073974609,0.105500407516956,10.15,"Congridae Heteroconger hassi",0,766667.305747999,7497791.83346488
"1480",1480,-89.4551010131836,0.0406838357448578,6.04,"Echeneidae Echeneis naucrates",0,760863.057192233,7481723.50636682
"1481",1481,-90.9299240112305,-0.050831638276577,6.05,"Echeneidae Echeneis naucrates",0,760980.795984866,7482893.46094986
"1482",1482,-95.1537399291992,0.142544746398926,6.12,"Echeneidae Echeneis naucrates",0,761074.116123975,7484063.8338796
"1483",1483,-79.7921295166016,0.0863062366843224,7.01,"Echeneidae Echeneis naucrates",0,761994.724647816,7483640.36856162
"1484",1484,-78.8450927734375,-0.0627537444233894,7.02,"Echeneidae Echeneis naucrates",0,762243.663078039,7483916.33786622
"1485",1485,-77.537353515625,-0.140930309891701,7.03,"Echeneidae Echeneis naucrates",0,762476.090298544,7484651.19094084
"1486",1486,-70.3975296020508,-0.00435680104419589,7.04,"Echeneidae Echeneis naucrates",0,763252.438954012,7484357.52638535
"1487",1487,-67.7771682739258,0.00293297809548676,7.05,"Echeneidae Echeneis naucrates",0,764299.940499012,7484211.98347622
"1488",1488,-67.5841751098633,-0.0166199840605259,7.08,"Echeneidae Echeneis naucrates",0,764540.521894601,7484003.97630259
"1489",1489,-89.079948425293,0.526582837104797,8.01,"Echeneidae Echeneis naucrates",0,761913.859428033,7486036.6765009
"1490",1490,-80.2089385986328,0.923622250556946,8.02,"Echeneidae Echeneis naucrates",1,762567.507192634,7487120.97231703
"1491",1491,-64.9225158691406,0.0362119898200035,8.05,"Echeneidae Echeneis naucrates",0,765036.916426606,7487197.3720496
"1492",1492,-63.8236236572266,-0.00767078530043364,8.06,"Echeneidae Echeneis naucrates",1,765215.02745971,7487802.6125547
"1493",1493,-65.5418014526367,0.148975670337677,8.07,"Echeneidae Echeneis naucrates",0,764832.138995991,7487896.80727465
"1494",1494,-99.5442276000977,-0.0393386706709862,8.12,"Echeneidae Echeneis naucrates",0,761695.080688299,7487518.1443205
"1495",1495,-117.573989868164,-0.0350268818438053,9.01,"Echeneidae Echeneis naucrates",2,760519.168204034,7487308.98960317
"1496",1496,-162.654724121094,-0.0211295951157808,9.02,"Echeneidae Echeneis naucrates",0,759027.631303557,7487207.02515307
"1497",1497,-136.033355712891,-0.0687120333313942,9.06,"Echeneidae Echeneis naucrates",0,760119.739825218,7488232.99807277
"1498",1498,-132.870834350586,-0.0665610581636429,9.07,"Echeneidae Echeneis naucrates",0,759427.087449943,7486283.04916743
"1499",1499,-178.383865356445,-0.0571325607597828,9.08,"Echeneidae Echeneis naucrates",0,758203.779415503,7486150.96938823
"1500",1500,-97.585807800293,0.104066781699657,10.01,"Echeneidae Echeneis naucrates",2,762667.658995623,7490100.15569396
"1501",1501,-99.3325729370117,0.0609821788966656,10.02,"Echeneidae Echeneis naucrates",0,762672.481205213,7490380.32767487
"1502",1502,-90.8180694580078,-0.144142180681229,10.03,"Echeneidae Echeneis naucrates",0,763340.653483073,7490878.37260373
"1503",1503,-161.060394287109,-0.0369151346385479,10.09,"Echeneidae Echeneis naucrates",0,763066.279616948,7495267.17920371
"1504",1504,-165.15934753418,0.00985708460211754,10.11,"Echeneidae Echeneis naucrates",0,763517.963020068,7496528.13186412
"1505",1505,NA,NA,10.12,"Echeneidae Echeneis naucrates",0,765014.537001473,7498893.50295101
"1506",1506,-82.1236267089844,-0.0755893811583519,10.13,"Echeneidae Echeneis naucrates",0,765062.805497171,7494255.3888656
"1507",1507,-74.9313430786133,0.103835061192513,10.14,"Echeneidae Echeneis naucrates",1,766392.295086729,7495783.60009627
"1508",1508,-88.7407073974609,0.105500407516956,10.15,"Echeneidae Echeneis naucrates",0,766667.305747999,7497791.83346488
"1509",1509,-89.4551010131836,0.0406838357448578,6.04,"Fistulariidae Fistularia commersonii",0,760863.057192233,7481723.50636682
"1510",1510,-90.9299240112305,-0.050831638276577,6.05,"Fistulariidae Fistularia commersonii",0,760980.795984866,7482893.46094986
"1511",1511,-95.1537399291992,0.142544746398926,6.12,"Fistulariidae Fistularia commersonii",0,761074.116123975,7484063.8338796
"1512",1512,-79.7921295166016,0.0863062366843224,7.01,"Fistulariidae Fistularia commersonii",0,761994.724647816,7483640.36856162
"1513",1513,-78.8450927734375,-0.0627537444233894,7.02,"Fistulariidae Fistularia commersonii",0,762243.663078039,7483916.33786622
