"","sample","scientific","family","genus","species","number","length","site","FB.Length_MAX","MinLegal.WA","Fishing.mortality","Fishing.type","min.length","Cut.off","Size.Class"
"350",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,221.3385,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"351",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,291.94102,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"352",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,215.18545,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"353",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,268.54773,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"354",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,197.96607,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"355",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,237.33411,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"356",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,272.16839,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"358",4.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,278.71816,4,800,"280","Y","C/R",120,80,"Large.sub.legal"
"363",4.02,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,251.59468,4,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"368",4.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,238.57225,4,800,"280","Y","C/R",120,80,"Large.sub.legal"
"396",6.04,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,274.33147,6,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"403",6.12,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,263.88562,6,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"412",7.02,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,259.97534,7,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"426",7.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,244.47114,7,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"428",8.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,251.27236,8,800,"280","Y","C/R",120,80,"Large.sub.legal"
"429",8.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,268.48254,8,800,"280","Y","C/R",120,80,"Large.sub.legal"
"430",8.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,243.42782,8,800,"280","Y","C/R",120,80,"Large.sub.legal"
"431",8.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,269.89494,8,800,"280","Y","C/R",120,80,"Large.sub.legal"
"432",8.01,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,196.66874,8,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"436",8.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,246.84689,8,800,"280","Y","C/R",120,80,"Large.sub.legal"
"447",8.05,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,400.42999,8,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"460",8.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,267.61452,8,800,"280","Y","C/R",120,80,"Large.sub.legal"
"462",8.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,217.78288,8,800,"280","Y","C/R",120,80,"Large.sub.legal"
"463",8.07,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,274.57066,8,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"470",8.12,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,165.14412,8,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"490",9.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,268.29025,9,800,"280","Y","C/R",120,80,"Large.sub.legal"
"492",9.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,265.06049,9,800,"280","Y","C/R",120,80,"Large.sub.legal"
"505",9.07,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,383.0254,9,1160,"410","Y","C/R",174,118,"Large.sub.legal"
