"id","sample","family","genus","species","length","range","type","longitude","latitude","date","time","time.out","site","location","status","depth","observer","maxn.complete.yyyymmdd","maxn.checker","successful.count","successful.length","left.cam","right.cam","rear.cam","video.notes","raw.hd","con.hd","forward.habitat.image.saved","backward.habitat.image.saved","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes","campaignid"
"1.03",1.03,"Lethrinidae","Lethrinus","miniatus",409.21426,2071.95791,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Lethrinidae","Lethrinus","miniatus",481.64403,2762.40322,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Lethrinidae","Lethrinus","rubrioperculatus",330.96619,2831.22709,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Lethrinidae","Lethrinus","rubrioperculatus",365.24805,2397.9728,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Lutjanidae","Pristipomoides","filamentosus",597.91033,1844.15232,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Lutjanidae","Pristipomoides","multidens",395.52297,5988.04826,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Mullidae","Parupeneus","spilurus",348.78358,4285.08894,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Balistidae","Abalistes","filamentosus",274.45492,3029.31809,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Carangidae","Carangoides","chrysophrys",531.56468,3003.06869,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Carangidae","Decapterus","spp",209.02588,5125.65957,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Carangidae","Decapterus","spp",263.04053,4601.03579,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Labridae","Bodianus","solatus",338.18597,2875.42512,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Labridae","Bodianus","solatus",348.61944,2966.85737,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Lethrinidae","Gymnocranius","grandoculis",340.49631,4382.8022,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Lethrinidae","Gymnocranius","grandoculis",349.74387,1799.73304,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Lethrinidae","Lethrinus","miniatus",460.69206,1446.80628,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Lethrinidae","Lethrinus","miniatus",480.8525,1363.45213,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Lethrinidae","Lethrinus","rubrioperculatus",325.46813,1418.3152,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Lethrinidae","Lethrinus","rubrioperculatus",314.9653,1385.41743,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Lethrinidae","Lethrinus","rubrioperculatus",313.35848,1397.73568,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Lutjanidae","Pristipomoides","multidens",384.75167,3150.32337,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Lutjanidae","Pristipomoides","multidens",412.50797,1768.78784,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",1.04,"Lutjanidae","Pristipomoides","multidens",476.57136,1491.07931,"new",113.5183981,-22.8402743,12082019,09:51:00,11:13:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190904,"Todd","Yes","Yes",375,376,440,NA,"1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
