"","sample","scientific","family","genus","species","FB.Length_MAX","Fishing.mortality","Fishing.type","MinLegal.WA"
"191",7.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"192",7.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"193",7.02,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"194",7.03,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",3000,"Y","C/R",NA
"195",7.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"196",7.03,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"197",7.03,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",870,"Y","C/R",410
"198",7.03,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"199",7.03,"Serranidae Epinephelus multinotatus","Serranidae","Epinephelus","multinotatus",1000,"Y","C/R",NA
"200",7.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"201",7.04,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"202",7.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"203",8.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"204",8.01,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"205",8.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"206",8.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"207",8.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"208",8.02,"Pomacanthidae Genicanthus lamarck","Pomacanthidae","Genicanthus","lamarck",250,"Y","C/R",NA
"209",8.02,"Serranidae Variola louti","Serranidae","Variola","louti",830,"Y","C/R",NA
"210",8.05,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",3000,"Y","C/R",NA
"211",8.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"212",8.05,"Lethrinidae Lethrinus olivaceus","Lethrinidae","Lethrinus","olivaceus",1000,"Y","C/R",280
"213",8.05,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"214",8.06,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",3000,"Y","C/R",NA
"215",8.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"216",8.06,"Lutjanidae Aprion virescens","Lutjanidae","Aprion","virescens",1120,"Y","R",NA
"217",8.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"218",8.07,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"219",8.07,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",870,"Y","C/R",410
"220",8.07,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",520,"Y","C/R",280
"221",8.07,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"222",8.12,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"223",8.12,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"224",8.12,"Lethrinidae Lethrinus olivaceus","Lethrinidae","Lethrinus","olivaceus",1000,"Y","C/R",280
"225",8.12,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",450,"Y","R",NA
"226",9.01,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",980,"Y","C/R",NA
