"sample","scientific","maxn","type","longitude","latitude","date","time","time.out","site","location","status","depth","observer","maxn.complete.yyyymmdd","maxn.checker","successful.count","successful.length","left.cam","right.cam","rear.cam","video.notes","raw.hd","con.hd","forward.habitat.image.saved","backward.habitat.image.saved","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes"
"16.01","total.abundance",15,"legacy",113.80074,-22.12155,16082019,10:22:00,11:28:00,18,"Ningaloo Marine Park","NA","101","Charlotte Aston",20191031,NA,"Yes",NA,372,371,564,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"16.02","total.abundance",7,"legacy",113.79192,-22.11624,16082019,10:28:00,11:37:00,16,"Ningaloo Marine Park","NA","145","Charlotte Aston",20191031,NA,"Yes",NA,373,374,439,"Good habitat",2,"2","Yes","Yes","20200305 check for weird hydroids",NA,"NA",NA
"16.03","total.abundance",9,"legacy",113.7967,-22.10669,16082019,10:39:00,11:48:00,16,"Ningaloo Marine Park","NA","190","Charlotte Aston",20191101,NA,"Yes",NA,367,368,440,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"16.05","total.abundance",41,"legacy",113.82563,-22.0856,16082019,11:00:00,12:23:00,16,"Ningaloo Marine Park","NA","85","Charlotte Aston",20191107,NA,"Yes",NA,369,370,422,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"17.08","total.abundance",33,"new",113.8193929,-22.0943763,16082019,10:53:00,12:15:00,17,"Ningaloo Marine Park","NA","90","Charlotte Aston",20191101,NA,"Yes",NA,378,377,423,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"18.01","total.abundance",23,"new",113.812266,-22.06954369,16082019,12:33:00,13:35:00,18,"Ningaloo Marine Park","NA","91","Charlotte Aston",20191101,NA,"Yes",NA,369,370,422,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"18.02","total.abundance",8,"new",113.8120284,-22.06517499,16082019,12:38:00,13:42:00,18,"Ningaloo Marine Park","NA","91","Charlotte Aston",20191101,NA,"Yes",NA,378,377,423,"Cool hammer footage. Not sure about the grandoculis/griseus in these video",2,"2","Yes","Yes","20200305",NA,"NA",NA
"18.03","total.abundance",17,"new",113.8082274,-22.06563485,16082019,12:46:00,13:53:00,18,"Ningaloo Marine Park","NA","117","Charlotte Aston",20191104,NA,"Yes",NA,375,376,420,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"18.04","total.abundance",26,"new",113.810603,-22.06172601,16082019,12:50:00,14:01:00,18,"Ningaloo Marine Park","NA","134","Charlotte Aston",20190830,"Brooke","Yes",NA,367,368,440,"Converted wrong. Hammerhead.",2,"2 (subfolder)","Yes","Yes","20200305","Charlotte Aston","20191205",NA
"18.07","total.abundance",122,"new",113.8281828,-22.06264574,16082019,12:54:00,14:10:00,18,"Ningaloo Marine Park","NA","109","Charlotte Aston",20191104,NA,"Yes",NA,373,374,439,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"18.08","total.abundance",13,"new",113.823194,-22.0725328,16082019,12:58:00,14:16:00,18,"Ningaloo Marine Park","NA","96","Charlotte Aston",20191104,NA,"Yes",NA,372,371,564,NA,2,"2","Yes","Yes","20200305",NA,"NA",NA
"19.01","total.abundance",18,"legacy",113.82289,-22.01347,16082019,14:42:00,15:44:00,19,"Ningaloo Marine Park","NA","107","Charlotte Aston",20191104,NA,"Yes",NA,372,371,564,"Pelagic BRUVs deployed",2,"2","Yes","Yes","20200305",NA,"NA",NA
