"campaignid","sample","family","genus","species","length","number","range"
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Rachycentridae","Rachycentron","canadum",760.57058,1,3187.07182
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Carangidae","Decapterus","spp",209.02588,1,5125.65957
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Carangidae","Decapterus","spp",263.04053,1,4601.03579
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Lethrinus","rubrioperculatus",293.6329,1,1265.72769
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Lethrinus","rubrioperculatus",293.23922,1,1409.64444
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Lethrinus","rubrioperculatus",292.48281,1,1168.4416
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Lethrinus","rubrioperculatus",273.96434,1,1300.70808
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Lethrinus","rubrioperculatus",309.16934,1,1758.49263
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Gymnocranius","grandoculis",260.65301,1,1233.76415
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Gymnocranius","grandoculis",262.2868,1,2306.24203
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Gymnocranius","grandoculis",275.33619,1,1822.06603
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Gymnocranius","grandoculis",257.18349,1,1147.07651
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Gymnocranius","grandoculis",240.06882,1,1866.48035
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Gymnocranius","grandoculis",299.91305,1,1065.5208
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lutjanidae","Pristipomoides","multidens",279.14646,1,1768.76886
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lutjanidae","Pristipomoides","multidens",425.24692,1,1738.97553
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lutjanidae","Pristipomoides","multidens",420.13486,1,2076.71513
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lutjanidae","Pristipomoides","multidens",422.98225,1,1150.91921
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Carangidae","Carangoides","chrysophrys",475.83869,1,1571.26006
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Synodontidae","Saurida","undosquamis",343.50297,1,1673.00705
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Serranidae","Epinephelus","areolatus",337.78312,1,1269.23243
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Mullidae","Parupeneus","spilurus",312.4822,1,1353.09278
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Carangidae","Decapterus","spp",217.88395,1,3404.40832
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Carangidae","Decapterus","spp",272.78686,1,3825.24045
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Carangidae","Decapterus","spp",274.75857,1,3518.32853
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Carangidae","Decapterus","spp",264.52481,1,3470.27046
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Lethrinus","miniatus",372.00566,1,1366.08089
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Lethrinus","miniatus",423.1245,1,1255.05121
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Lethrinus","miniatus",453.75264,1,1365.43483
"2019-08_Ningaloo_stereo-BRUVs",1.05,"Lethrinidae","Lethrinus","miniatus",398.57503,1,1447.49637
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Scaridae","Scarus","ghobban",456.42259,1,3964.29302
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Carangidae","Decapterus","spp",291.20338,1,4318.81585
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Carangidae","Decapterus","spp",279.49697,1,3914.09644
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",345.53045,1,1684.50522
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",229.02643,1,5118.10159
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",284.3515,1,5024.5836
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",319.88487,1,1853.62272
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",315.93871,1,1969.00925
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Serranidae","Epinephelus","areolatus",329.78122,1,1282.00893
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Sparidae","Argyrops","spinifer",301.71962,1,1825.13905
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Sparidae","Argyrops","spinifer",327.25151,1,3251.87126
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Sparidae","Argyrops","spinifer",258.28989,1,3233.56784
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Sparidae","Argyrops","spinifer",293.51715,1,3129.23553
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Carangidae","Carangoides","chrysophrys",409.58634,1,3000.03582
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Serranidae","Epinephelus","areolatus",310.76168,1,1305.93859
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Balistidae","Abalistes","filamentosus",301.74046,1,3704.49579
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Balistidae","Abalistes","filamentosus",314.84974,1,2686.85585
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",413.23781,1,1994.4341
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",447.42344,1,1812.15956
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",456.12038,1,3135.81845
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",481.22675,1,1822.19144
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",399.8996,1,3897.11413
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",413.16865,1,3294.89183
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",432.51528,1,1905.1066
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",490.65686,1,1013.28639
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",420.07638,1,2647.68593
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","typus",373.43188,1,2789.70702
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Gymnocranius","grandoculis",293.90527,1,3613.37855
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Gymnocranius","grandoculis",372.99135,1,2908.44998
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Gymnocranius","grandoculis",380.88463,1,2144.18808
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Lutjanus","sebae",502.55186,1,1587.45892
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Carcharhinidae","Carcharhinus","plumbeus",1333.56937,1,4872.41133
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Gymnocranius","euanus",381.69873,1,2247.43083
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Gymnocranius","euanus",369.54493,1,2574.6122
"2019-08_Ningaloo_stereo-BRUVs",2.03,"Balistidae","Abalistes","stellatus",255.85106,1,4844.6825
"2019-08_Ningaloo_stereo-BRUVs",2.03,"Tetraodontidae","Lagocephalus","sceleratus",393.29643,1,2130.71118
"2019-08_Ningaloo_stereo-BRUVs",2.03,"Carangidae","Carangoides","chrysophrys",482.93185,1,3380.19294
"2019-08_Ningaloo_stereo-BRUVs",2.03,"Synodontidae","Saurida","undosquamis",357.61794,1,1988.98717
"2019-08_Ningaloo_stereo-BRUVs",2.03,"Balistidae","Abalistes","filamentosus",224.10626,1,2876.93702
"2019-08_Ningaloo_stereo-BRUVs",2.04,"Synodontidae","Saurida","undosquamis",308.35876,1,2859.397
"2019-08_Ningaloo_stereo-BRUVs",2.04,"Synodontidae","Saurida","undosquamis",252.5321,1,6283.74106
"2019-08_Ningaloo_stereo-BRUVs",2.04,"Tetraodontidae","Lagocephalus","sceleratus",534.93521,1,1647.25299
"2019-08_Ningaloo_stereo-BRUVs",2.04,"Carangidae","Carangoides","gymnostethus",266.13535,1,1864.38823
"2019-08_Ningaloo_stereo-BRUVs",2.04,"Carangidae","Carangoides","gymnostethus",283.68471,1,2044.67972
"2019-08_Ningaloo_stereo-BRUVs",2.04,"Carangidae","Decapterus","spp",414.32234,1,2986.3038
"2019-08_Ningaloo_stereo-BRUVs",2.04,"Balistidae","Abalistes","stellatus",337.5417,1,4304.55411
"2019-08_Ningaloo_stereo-BRUVs",2.05,"Lethrinidae","Gymnocranius","grandoculis",562.0381,1,2017.87503
"2019-08_Ningaloo_stereo-BRUVs",2.05,"Tetraodontidae","Lagocephalus","sceleratus",577.35221,1,2734.51597
"2019-08_Ningaloo_stereo-BRUVs",2.05,"Tetraodontidae","Lagocephalus","sceleratus",552.30058,1,1324.34333
"2019-08_Ningaloo_stereo-BRUVs",2.05,"Sparidae","Argyrops","spinifer",367.35186,1,1559.05727
"2019-08_Ningaloo_stereo-BRUVs",2.05,"Carangidae","Carangoides","gymnostethus",292.01951,1,3107.2507
"2019-08_Ningaloo_stereo-BRUVs",2.05,"Carangidae","Carangoides","gymnostethus",324.0265,1,2598.95734
"2019-08_Ningaloo_stereo-BRUVs",2.05,"Carangidae","Carangoides","gymnostethus",300.05362,1,2216.50198
"2019-08_Ningaloo_stereo-BRUVs",2.05,"Carangidae","Carangoides","gymnostethus",315.12208,1,2543.46805
"2019-08_Ningaloo_stereo-BRUVs",2.05,"Carangidae","Carangoides","gymnostethus",330.43253,1,3002.63083
"2019-08_Ningaloo_stereo-BRUVs",2.05,"Carangidae","Carangoides","chrysophrys",282.47124,1,2897.86877
"2019-08_Ningaloo_stereo-BRUVs",2.06,"Carcharhinidae","Carcharhinus","plumbeus",1043.20693,1,2363.23152
"2019-08_Ningaloo_stereo-BRUVs",2.06,"Synodontidae","Saurida","undosquamis",353.70504,1,3063.85359
"2019-08_Ningaloo_stereo-BRUVs",2.06,"Synodontidae","Saurida","undosquamis",312.12505,1,3788.82063
"2019-08_Ningaloo_stereo-BRUVs",2.06,"Tetraodontidae","Lagocephalus","sceleratus",602.77272,1,2297.16775
"2019-08_Ningaloo_stereo-BRUVs",2.06,"Tetraodontidae","Lagocephalus","sceleratus",600.85765,1,2313.40891
