"","sample","scientific","family","genus","species","number","length","site","FB.Length_MAX","MinLegal.WA","min.length","Fishing.mortality","Fishing.type","Cut.off","Size.Class"
"465",8.07,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,455.38547,8,870,"410",130.5,"Y","C/R",139.75,"Legal"
"466",8.07,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,406.62618,8,520,"280",78,"Y","C/R",101,"Legal"
"467",8.07,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,554.67021,8,1160,"410",174,"Y","C/R",118,"Legal"
"468",8.07,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,649.72673,8,1160,"410",174,"Y","C/R",118,"Legal"
"469",8.07,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,560.14101,8,1160,"410",174,"Y","C/R",118,"Legal"
"471",8.12,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,440.61042,8,900,"280",135,"Y","C/R",72.5,"Legal"
"472",8.12,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,464.46941,8,900,"280",135,"Y","C/R",72.5,"Legal"
"473",8.12,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,457.57661,8,900,"280",135,"Y","C/R",72.5,"Legal"
"474",8.12,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,478.77734,8,900,"280",135,"Y","C/R",72.5,"Legal"
"475",8.12,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,434.33904,8,900,"280",135,"Y","C/R",72.5,"Legal"
"476",8.12,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,474.46727,8,900,"280",135,"Y","C/R",72.5,"Legal"
"477",8.12,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,394.98052,8,900,"280",135,"Y","C/R",72.5,"Legal"
"478",8.12,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",1,241.28037,8,450,"None",67.5,"Y","R",NA,"Legal"
"479",9.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,319.50006,9,800,"280",120,"Y","C/R",80,"Legal"
"480",9.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,328.0993,9,800,"280",120,"Y","C/R",80,"Legal"
"481",9.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,380.36357,9,800,"280",120,"Y","C/R",80,"Legal"
"482",9.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,397.17165,9,900,"280",135,"Y","C/R",72.5,"Legal"
"483",9.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,427.26014,9,900,"280",135,"Y","C/R",72.5,"Legal"
"484",9.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,414.70215,9,900,"280",135,"Y","C/R",72.5,"Legal"
"485",9.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,447.7487,9,900,"280",135,"Y","C/R",72.5,"Legal"
"486",9.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,418.84502,9,900,"280",135,"Y","C/R",72.5,"Legal"
"487",9.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,383.12555,9,900,"280",135,"Y","C/R",72.5,"Legal"
"488",9.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,314.20337,9,800,"280",120,"Y","C/R",80,"Legal"
"489",9.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,294.76989,9,800,"280",120,"Y","C/R",80,"Legal"
"491",9.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,343.26185,9,800,"280",120,"Y","C/R",80,"Legal"
"493",9.06,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,389.38598,9,900,"280",135,"Y","C/R",72.5,"Legal"
"494",9.06,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,440.37669,9,900,"280",135,"Y","C/R",72.5,"Legal"
"495",9.06,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,394.00947,9,900,"280",135,"Y","C/R",72.5,"Legal"
"496",9.06,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,396.71306,9,900,"280",135,"Y","C/R",72.5,"Legal"
"497",9.06,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,415.49545,9,900,"280",135,"Y","C/R",72.5,"Legal"
"498",9.06,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,384.33554,9,900,"280",135,"Y","C/R",72.5,"Legal"
"499",9.06,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,350.34271,9,900,"280",135,"Y","C/R",72.5,"Legal"
"500",9.06,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,431.65973,9,900,"280",135,"Y","C/R",72.5,"Legal"
"501",9.07,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,396.80356,9,900,"280",135,"Y","C/R",72.5,"Legal"
"502",9.07,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,399.81681,9,900,"280",135,"Y","C/R",72.5,"Legal"
"503",9.07,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,378.6765,9,900,"280",135,"Y","C/R",72.5,"Legal"
"504",9.07,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,354.27473,9,900,"280",135,"Y","C/R",72.5,"Legal"
"506",9.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,346.91135,9,800,"280",120,"Y","C/R",80,"Legal"
