"","sample","scientific","family","genus","species","number","length","site","FB.Length_MAX","MinLegal.WA","min.length","Fishing.mortality","Fishing.type","Cut.off","Size.Class"
"90",10.15,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,585.59391,10,1160,"410",174,"Y","C/R",118,"Legal"
"91",11.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,349.30212,11,800,"280",120,"Y","C/R",80,"Legal"
"93",11.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,472.58572,11,800,"280",120,"Y","C/R",80,"Legal"
"94",11.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,498.8829,11,800,"280",120,"Y","C/R",80,"Legal"
"95",11.02,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,516.16765,11,870,"410",130.5,"Y","C/R",139.75,"Legal"
"96",11.02,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,476.67596,11,870,"410",130.5,"Y","C/R",139.75,"Legal"
"97",11.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,409.44528,11,800,"280",120,"Y","C/R",80,"Legal"
"98",11.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,411.30378,11,800,"280",120,"Y","C/R",80,"Legal"
"99",11.03,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,476.03862,11,870,"410",130.5,"Y","C/R",139.75,"Legal"
"100",11.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,459.02396,11,800,"280",120,"Y","C/R",80,"Legal"
"102",12.02,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,484.19223,12,870,"410",130.5,"Y","C/R",139.75,"Legal"
"103",12.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,383.02018,12,800,"280",120,"Y","C/R",80,"Legal"
"104",12.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,381.62524,12,800,"280",120,"Y","C/R",80,"Legal"
"105",12.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,416.02087,12,800,"280",120,"Y","C/R",80,"Legal"
"106",12.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,406.81733,12,800,"280",120,"Y","C/R",80,"Legal"
