sample,site,Longitude,Latitude,bathymetry,TPI,Slope,Aspect,TRI,Roughness,FlowDir,mean.relief,sd.relief,reef,sand,distance.to.ramp,status,target.fish
9.06,9,113.5319393,-22.6931181,-136.0333557,-0.00541333,0.038205452,5.015215397,0.745767593,2.303527832,16,2.217391304,0.795242772,47.83,52.17,56.77131242,NT,9
9.07,9,113.5255251,-22.71082283,-132.8708344,0.004152047,0.029874979,5.044203758,0.562252045,1.740905762,16,2.8,0.763762616,60,40,55.28559406,NT,4
9.08,9,113.5136468,-22.71220242,-178.3838654,0.008114242,0.043220885,5.088785648,0.852685928,2.906799316,32,0.708333333,0.550032937,20.84,79.17,55.70403337,NT,1
10.01,10,113.5564085,-22.67587323,-97.5858078,0.032625437,0.018138483,4.904821396,0.356557846,1.075706482,16,3.352941176,1.574076987,64.7,35.29,57.5281194,NT,6
10.02,10,113.5564085,-22.67334399,-99.33257294,0.022173895,0.017327879,5.143274784,0.357643127,1.24773407,32,2.25,1.047269876,40.62,59.38,57.78884231,NT,8
10.03,10,113.5628228,-22.66874535,-90.81806946,0.053461701,0.011954342,1.846186519,0.311972618,0.889518738,4,3.233333333,1.633345062,73.33,26.67,58.0235536,NT,8
10.04,10,113.5518948,-22.6669059,-114.8364182,0.04690719,0.036385719,4.933448315,0.737371445,2.314277649,32,3.24,1.164760347,44,56,58.62538531,NT,13
10.07,10,113.5400165,-22.67311405,-143.1601715,-0.007007506,0.058115575,5.080428123,1.119943619,3.746002197,16,3,1.023532631,50.01,50,58.4591585,NT,2
10.08,10,113.5383536,-22.67035488,-160.9630737,-0.032599129,0.041205708,5.098503113,0.813928604,2.675613403,16,1.5,0.511766316,18.19,81.82,58.80825739,NT,0
10.09,10,113.55942,-22.62918,-161.0603943,NA,0.058279335,5.038750172,1.13583374,3.617263794,16,0.904761905,0.43643578,9.52,90.48,62.26393999,F,0
10.11,10,113.5636,-22.61773,-165.1593475,0.004594468,0.053748574,5.096605778,1.071722031,3.451416016,32,1.157894737,0.374634325,0,100,63.31947836,F,2
10.12,10,113.57775,-22.59615,NA,NA,NA,NA,NA,NA,NA,1.7,0.864504726,15,85,65.14344583,F,1
10.13,10,113.579,-22.638,-82.12362671,0.027952787,0.021543799,1.71942246,0.420248985,1.183036804,1,2.514285714,0.853071563,57.15,42.86,60.67790654,NT,7
10.14,10,113.5916667,-22.624,-74.93134308,0.024392223,0.053900737,0.098058902,1.051632881,2.842002869,64,1.192307692,0.491465626,26.92,73.08,61.76597509,NT,10
10.15,10,113.594,-22.6058333,-88.7407074,0.11876332,0.045419369,5.05810976,0.899385452,2.801315308,32,2.192307692,1.05902713,53.84,46.15,63.63351604,NT,3
11.01,11,113.6215013,-22.54044354,-87.7331543,0.068076149,0.040607933,5.246641636,0.779968262,2.625297546,32,0.96,0.2,0,100,69.98853598,F,1
11.02,11,113.6248272,-22.5365347,-83.27856445,0.025755882,0.044380818,5.172037125,0.875096321,2.842430115,16,1.916666667,1.017954755,16.67,83.33,70.34167894,F,4
11.03,11,113.6274404,-22.53377552,-79.80034637,0.12334089,0.030264726,5.275891304,0.593027115,2.171813965,32,1.2,0.615587011,0,100,70.58697389,F,3
11.04,11,113.6243521,-22.52871703,-95.08069611,0.040901531,0.01528025,4.598179817,0.300922394,0.92616272,16,0.96,0.2,0,100,71.2018221,F,1
11.05,11,113.6255399,-22.52618778,-94.58769226,-0.008174167,0.016118823,4.915654182,0.312841415,1.042633057,32,0.590909091,0.50323628,0,100,71.45215246,F,0
11.06,11,113.6345674,-22.52388847,-79.92705536,-0.037329238,0.015231078,5.184216976,0.302254677,1.020889282,16,1.045454545,0.722249972,9.1,90.91,71.52116928,F,0
12.02,12,113.67504,-22.46724,-55.66296768,0.034909006,0.041013792,5.620039463,0.759232998,3.022529602,32,2.333333333,1.270977819,29.63,70.37,69.07962758,F,1
12.03,12,113.6678265,-22.46824503,-69.37794495,0.055675901,0.021029826,5.459727287,0.391554832,1.426605225,32,1,0,0,100,69.51709196,F,6
12.04,12,113.6687767,-22.46433619,-72.92613983,0.007188515,0.016045224,5.105763435,0.317002296,1.039741516,16,0.6,0.5,0,100,69.08667899,F,4
12.05,12,113.6599868,-22.4673253,-87.49789429,-0.037507452,0.03105488,5.308324337,0.598204613,2.005966187,32,0.76,0.522812905,0,100,69.80113998,F,3
12.06,12,113.6573736,-22.46548585,-95.44886017,0.029806854,0.020947855,5.228672028,0.40466404,1.435791016,32,1,0,0,100,69.74766469,F,2
12.11,12,113.64333,-22.48475,-103.7246552,-0.020185342,0.020399647,5.364605427,0.393652916,1.341522217,32,2.090909091,1.019294383,18.19,81.82,72.31659209,F,3
13.02,13,113.7058369,-22.40386419,-74.91762543,-0.01412262,0.01373863,5.400654316,0.254262924,0.977180481,32,0.423076923,0.503831474,0,100,61.36927486,F,3
13.03,13,113.7013231,-22.39903562,-85.02671814,0.025257798,0.018265439,5.97259903,0.360908508,1.191886902,64,1.5,0.511766316,0,100,61.10796485,F,1
13.04,13,113.6972845,-22.39765604,-95.99886322,-0.005126046,0.022143811,5.10059166,0.440639496,1.372009277,16,1.08,0.276887462,0,100,61.16784796,F,1
13.05,13,113.6932459,-22.40087508,-101.1906052,-0.029150268,0.032091442,5.196154594,0.617980003,2.116775513,16,0.80952381,0.402373908,0,100,61.67969182,F,2
13.06,13,113.6922957,-22.40478391,-97.57118988,-0.005850429,0.02621115,5.365592003,0.505390167,1.725479126,32,1,0,0,100,62.10821131,F,0
13.08,13,113.7039364,-22.39328734,-87.99049377,0.029608499,0.015588338,4.688868999,0.301996231,0.833602905,16,1,0,0,100,60.41780721,F,3
14.01,14,113.72408,-22.32524,-101.5208969,0.021068867,0.020560373,5.352776527,0.383592606,1.401031494,16,0.88,0.781024968,20,80,52.79448306,F,7
14.02,14,113.73251,-22.30284,-107.3547287,-0.009915528,0.019839844,4.956559658,0.389137268,1.207473755,16,1.15,1.089422831,0,100,50.20581117,NT,12
14.03,14,113.74266,-22.27651,-115.1100616,0.001973802,0.033982225,5.209298611,0.665073395,2.287109375,32,1,0.3086067,9.09,90.91,47.15671839,F,4
14.06,14,113.79046,-22.17832,-102.3585129,-0.015822669,0.007919077,4.958137512,0.150746346,0.465782166,16,0.739130435,0.448977759,0,100,35.29960224,F,2
14.11,14,113.7371667,-22.3266667,-78.90434265,0.099288292,0.031710546,5.355347633,0.586105347,2.238929749,32,0.84,0.6244998,0,100,52.27938056,F,3
14.12,14,113.746,-22.3071667,-86.97949982,-0.018942263,0.016122065,5.029551506,0.305913925,0.982681274,16,0.6,0.5,0,100,49.94191097,NT,11
14.13,14,113.7416667,-22.2866667,-104.8987808,0.106958665,0.016524374,5.383741379,0.309149742,1.185935974,32,1,0,0,100,48.17925675,F,11
15.01,15,113.7915,-22.17344,-103.163559,0.019591022,0.015060041,5.056985855,0.307084084,0.948616028,32,1,0,0,100,34.78809451,F,2
15.02,15,113.7941,-22.16882,-102.7137604,-0.009677217,0.020541271,5.146429539,0.40480423,1.311828613,32,0.909090909,0.294244943,4.55,95.45,34.21249092,F,5
15.05,15,113.78335,-22.16173,-126.6387253,0.009596645,0.031695947,4.914674282,0.623614311,1.848930359,16,1.115384615,0.325812594,7.69,92.31,34.19794188,F,1
15.07,15,113.79163,-22.13639,-119.5628433,-0.020385031,0.038606301,5.139713287,0.767246246,2.551475525,32,1.3,0.470162346,0,100,31.43352412,F,3
15.12,15,113.7899349,-22.14381158,-114.0046616,0.07007055,0.034391597,4.794364929,0.655446053,2.141868591,16,1.866666667,0.351865775,26.67,73.33,32.19456935,F,4
16.01,18,113.80074,-22.12155,-104.8821259,0.041455898,0.021420782,5.27557373,0.551402092,1.819633484,32,0.7,0.470162346,0,100,29.55671345,F,2
16.02,16,113.79192,-22.11624,-153.1077728,0.277886301,0.223578945,5.017384529,4.507890701,14.33882141,16,3.818181818,0.501081082,81.82,18.18,29.67514987,F,0
16.03,16,113.7967,-22.10669,-193.175293,NA,NA,NA,NA,NA,8,1,0,0,100,28.54944542,F,1
16.04,16,113.8081,-22.09742,-102.5539474,0.014391762,0.012246437,5.598483086,0.227238655,0.882324219,32,1,0,0,100,27.00299472,F,0
16.05,16,113.82563,-22.0856,-89.17428589,-0.026177932,0.023730468,5.118787766,0.463973999,1.5779953,32,1.846153846,0.612686392,7.69,92.31,24.83739313,F,2
17.08,17,113.8193929,-22.0943763,-94.17247009,-0.033288345,0.020452987,4.940619469,0.403149605,1.241638184,16,0.590909091,0.590326053,0,100,25.99907425,F,3
18.01,18,113.812266,-22.06954369,-101.9800034,0.040850952,0.013758322,4.720168591,0.262349129,0.770935059,16,0.583333333,0.503610155,0,100,24.42753857,F,3
18.02,18,113.8120284,-22.06517499,-104.821106,0.099453352,0.048389636,5.430283546,0.912866592,3.417449951,32,0.555555556,0.506369684,0,100,24.10089352,F,0
18.03,18,113.8082274,-22.06563485,-145.6628571,0.380372912,0.306827277,5.171969891,6.292070389,22.22459412,32,2,0.748331477,26.92,73.08,24.41631293,F,1
18.04,18,113.810603,-22.06172601,-121.5851974,0.039717138,0.052525733,5.136642456,1.037534714,3.437324524,32,2.384615385,0.852146611,65.39,34.62,23.93872506,F,2
18.07,18,113.8281828,-22.06264574,-96.54286194,-0.006084393,0.006734301,4.853443146,0.129405975,0.453910828,32,1.130434783,1.013739604,0,100,22.74115128,F,1
18.08,18,113.823194,-22.0725328,-98.39230347,-0.007007506,0.000748902,2.945036173,0.459932327,1.47833252,64,0.5,0.512989176,0,100,23.89876015,F,0
19.01,19,113.82289,-22.01347,-114.003891,0.040846556,0.040390294,5.081953049,0.805319786,2.632896423,32,1,0,0,100,19.54558869,F,0
19.02,19,113.821531,-22.00792203,-128.3304443,-0.00796726,0.050834306,4.787991524,1.016670227,2.887817383,16,1.4,0.50262469,0,100,19.31584298,F,1
19.03,19,113.8305585,-22.00286353,-103.1063995,0.049705792,0.020499513,5.144515991,0.395643234,1.388442993,16,0.909090909,0.294244943,0,100,18.22988699,F,3
19.04,19,113.8255696,-22.00056422,-113.2444611,0.02992725,0.042679865,5.184952259,0.822992325,3.052276611,32,1.086956522,0.51460872,0,100,18.52533016,F,0
19.05,19,113.8291331,-21.99757511,-104.5185165,0.263400644,0.022388587,5.299530029,0.917250633,2.724380493,32,0,0,0,100,18.03844544,F,1
19.08,19,113.8234315,-21.99412613,-136.4824982,0.043492768,0.05002103,4.666095734,0.955450058,2.902572632,16,1,0,0,100,18.34954381,F,0
