"","aspect.mean.F"
"184",6.34500132798093
"185",6.40629499531463
"186",5.71820967427921
"187",4.80484912124023
"188",4.46814184709267
"189",4.47984522563982
"190",4.09468818972316
"191",5.21982367931246
"192",5.86199285600256
"193",5.46341691750774
"194",9.43746147981027
"195",6.65240257369517
"196",5.74692969457454
"197",5.51702312046691
"198",8.06765757937703
"199",4.77420641126867
"200",4.0956821613165
"201",5.17548450846155
"202",5.92872658707637
"203",5.35794074527826
"204",8.23374143713195
"205",4.94122323798246
"206",3.36471164982728
"207",5.71164669287109
"208",6.28371567768596
"209",5.91358888854082
"210",9.05500841438933
"211",4.36221420389075
"212",3.21736674977647
"213",3.90682586450851
"214",4.863092562943
"215",4.52438458059266
"216",5.12816039619658
"217",9.43730770837328
"218",6.73013190878895
"219",7.49317709688893
"220",6.18600059201631
"221",4.26134801948485
"222",6.43296626955626
"223",6.86858883328691
"224",6.06749722191202
"225",3.82001627021842
"226",4.38984903183888
"227",4.07939269716697
"228",5.12660574875087
"229",6.12722092667033
"230",4.31130238282711
"231",2.72409067782878
"232",6.58187134485261
"233",5.40928755100834
"234",5.33115099220164
"235",11.2882902103109
"236",6.11802599888777
"237",5.60732078176566
"238",7.09199478009253
"239",3.43329590680951
"240",2.82326724739555
"241",4.27181435164719
"242",4.53865041350483
"243",3.2297921626853
"244",4.05027080199279
"245",5.5891234785797
"246",4.17691171762228
"247",4.99047954929184
"248",2.78608745050544
"249",8.57822468857468
"250",7.60315495892762
"251",4.72038340183536
"252",9.97973141035629
"253",5.3346827352679
"254",4.71692306874151
"255",5.51622172088895
"256",5.92169191646848
"257",6.96585799741411
"258",4.78126953428791
"259",7.87460758968888
"260",6.48616016521876
"261",3.11739491888628
"262",5.25919326851193
"263",2.3883992410689
"264",4.77245387775618
"265",6.92401343731436
"266",6.15062016743217
"267",5.19274361997866
"268",5.51773869205667
"269",5.58353234172334
"270",5.73340669174959
"271",5.40437037941992
"272",4.20472804776228
"273",8.34818298844968
"274",3.68667069522966
"275",4.20464877485942
"276",6.71929727234699
"277",4.76002664808963
"278",9.41976522695717
"279",5.34836141143617
"280",4.31321236015634
"281",7.08561233075346
"282",4.91262622951797
"283",5.94360521008922
"284",6.21167008456414
"285",4.80050553055525
"286",4.10704193593378
"287",5.1339571422992
"288",4.00678514745341
"289",4.03925303606328
"290",6.04300351030857
"291",6.04265484214654
"292",7.36106936958608
"293",6.85111497448876
"294",3.94167001360313
"295",7.66508906358228
"296",7.39598584397448
"297",9.84558104892383
"298",6.08227215239545
"299",9.07208775428045
"300",7.57204226173435
"301",5.68182736891823
"302",5.30477873285353
"303",4.34547173964441
"304",5.21411098029029
"305",8.96019483946409
"306",4.5588963570794
"307",5.30587942246596
"308",9.22681796529515
"309",9.17806938764338
"310",3.59305224235701
"311",4.90746144418099
"312",5.32548779295492
"313",5.51941626702035
"314",7.57713393271121
"315",3.27350932853322
"316",4.02643755483594
"317",3.13837929987496
"318",5.65466898965033
"319",4.43125413737629
"320",4.25931627908654
"321",4.43146344541486
"322",7.97025428460846
"323",4.4101219430557
"324",6.37442062060408
"325",5.8370174216621
"326",6.21497735663149
"327",5.1710661632234
"328",5.14248305655982
"329",4.73254822057604
"330",5.59760532323723
"331",5.04812190773099
"332",5.2927900103193
"333",6.92765004201779
"334",3.41915817352434
"335",4.89998698871343
"336",3.66489634880924
"337",5.43001841011736
"338",4.26836493388204
"339",6.18068517562813
"340",4.71710395635483
"341",4.33440061445492
"342",6.50662397561079
"343",5.84008868844562
"344",6.15990658226116
"345",7.18021541701641
"346",3.28386664883874
"347",6.43168705223055
"348",4.59597167132487
"349",4.09114253171471
"350",5.03365445785291
"351",5.03947686585149
"352",7.67143361290873
"353",3.58584307497954
"354",7.76004816492595
"355",8.32465406079905
"356",5.00047000207303
"357",5.64204675274315
"358",7.5930067838918
"359",6.57041039886737
"360",3.69244251279305
"361",6.35367891065206
"362",4.86697347383475
"363",5.6941318443184
"364",6.95248323368561
"365",3.47530554919112
"366",8.32399575600989
"367",3.42265082205213
"368",3.58436220300954
"369",7.93748790714775
"370",5.13574019867437
"371",5.4231395184335
"372",5.74095283536769
"373",4.28653354955144
"374",4.39467684365384
"375",4.93739430782904
"376",4.2680077784792
"377",4.92607513615682
"378",5.87545146728871
"379",5.80018681375377
"380",5.4467121299682
"381",5.28463892604068
"382",5.12584923060722
"383",2.45976366831722
"384",4.85971132905911
"385",2.9675037498388
"386",7.50018161493014
"387",4.03680077321679
"388",3.82756036559644
"389",3.05255711710965
"390",5.59092361681582
"391",3.88348499018812
"392",6.39103929658423
"393",7.37282209132864
"394",3.23859312684121
"395",6.1960411854872
"396",5.44086237266249
"397",5.31055901301972
"398",9.51205044226536
"399",4.66063727091521
"400",5.78344923830536
"401",3.81355621743218
"402",5.07875123134744
"403",5.79622169095754
"404",5.45204136727563
"405",4.40042681418282
"406",6.30626560628267
"407",10.3735461928668
"408",3.58364076883945
"409",5.52529009141178
"410",4.42576276744261
"411",4.8760839745976
"412",4.19588713856809
"413",7.76548219361373
"414",3.78113291751743
