"","aspect.mean.NT"
"159",10.4122221633587
"160",16.1560338224434
"161",21.6429103407389
"162",24.7391591189135
"163",19.0346983176192
"164",9.64923370392169
"165",10.3860194158321
"166",12.8588692734235
"167",19.633478528509
"168",15.5829870662311
"169",13.1468916966788
"170",11.9666521766004
"171",15.3649902232496
"172",21.8877274619241
"173",16.4289742335109
"174",19.0050529474736
"175",16.8043368923689
"176",13.9469267309988
"177",8.4864050665834
"178",15.5222398295565
"179",14.7643219490608
"180",17.1158977335982
"181",22.1279789085675
"182",17.205302083535
"183",14.9252314169148
"184",10.9299714470039
"185",19.6149190669112
"186",21.4767391959363
"187",15.8494392765083
"188",18.3730710090991
"189",23.167085091966
"190",12.1062894786018
"191",12.2181157246485
"192",12.0690668042739
"193",13.1199392031612
"194",19.6354041688935
"195",15.1882566398081
"196",19.5078339094122
"197",14.1796403029412
"198",20.7988365898583
"199",8.65199681140506
"200",13.2101051688992
"201",11.1879952665154
"202",28.429591736218
"203",10.6694855171378
"204",15.7198712786624
"205",20.9066713001389
"206",17.7198603718328
"207",20.4663078273215
"208",14.8986825386159
"209",22.8394793739996
"210",18.8299804724754
"211",14.1469244646497
"212",13.6980177467164
"213",16.6252734299138
"214",21.3108462162697
"215",15.4260456244743
"216",22.8669868811361
"217",10.9439467065351
"218",17.7688294629394
"219",7.9470070642174
"220",20.9156190792821
"221",6.27233675660637
"222",15.0796350906373
"223",21.4422909676613
"224",13.4031369224566
"225",14.3145752726715
"226",10.9128592474195
"227",21.830425692222
"228",11.1130288091333
"229",22.626442283216
"230",20.4341076828065
"231",18.9849595443167
"232",13.4493769978402
"233",21.4290730916705
"234",21.6932011516484
"235",12.7610593719198
"236",9.99677512676005
"237",18.6559640710364
"238",11.9452953613177
"239",9.50161043716667
"240",11.8172042827512
"241",15.0306963583499
"242",16.0796054179694
"243",18.0187910849526
"244",18.9046326353239
"245",12.2432042980619
"246",12.4396358614915
"247",10.2689799763452
"248",14.17182989361
"249",14.2051326514614
"250",23.4154930425555
"251",9.19676883531083
"252",17.2973868005067
"253",33.19980899903
"254",18.9637358408384
"255",14.7615088235303
"256",21.9607000258904
"257",16.2478789893779
"258",21.5289897671564
"259",19.8400584165822
"260",20.1415352979916
"261",13.9602339237806
"262",14.9562387335173
"263",10.9249158051508
"264",24.0976331045796
"265",20.2238614864175
"266",16.2913259443347
"267",10.9610430807525
"268",24.6580325592802
"269",13.9979967984347
"270",14.6297291765981
"271",13.8140092338061
"272",9.38240533247469
"273",14.1342859726829
"274",16.3610441633622
"275",12.9981813654263
"276",14.7954639164951
"277",3.49291937940347
"278",20.6561456005552
"279",11.1340896856864
"280",24.2622191199194
"281",10.9411540204728
"282",14.3606222449854
"283",16.2545991223654
"284",10.9780085557364
"285",13.4842965997673
"286",11.0858084758817
"287",18.5498939145708
"288",15.23551305385
"289",14.0767514417118
"290",4.63540988200956
"291",16.2770536626167
"292",7.31445456155587
