"campaignid","sample","family","genus","species","maxn"
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Carangidae","Carangoides","fulvoguttatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Carangidae","Caranx","ignobilis",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Carangidae","Decapterus","spp",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Carangidae","Seriola","dumerili",2
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Cirrhitidae","Cyprinocirrhites","polyactis",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Labridae","Bodianus","solatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Labridae","Suezichthys","sp1",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Lethrinidae","Gymnocranius","grandoculis",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Lethrinidae","Lethrinus","miniatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Lethrinidae","Lethrinus","rubrioperculatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Lutjanidae","Lutjanus","sebae",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Lutjanidae","Pristipomoides","multidens",2
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Pinguipedidae","Parapercis","nebulosa",2
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Pomacanthidae","Chaetodontoplus","personifer",2
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Sparidae","Argyrops","spinifer",1
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Carangidae","Carangoides","chrysophrys",1
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Carangidae","Decapterus","spp",2
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Chaetodontidae","Heniochus","acuminatus",1
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Lethrinidae","Gymnocranius","grandoculis",1
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Lethrinidae","Lethrinus","nebulosus",1
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Lethrinidae","Lethrinus","ravus",1
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Lethrinidae","Lethrinus","rubrioperculatus",1
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Lutjanidae","Pristipomoides","multidens",1
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Mullidae","Parupeneus","chrysopleuron",1
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Nemipteridae","Pentapodus","nagasakiensis",3
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Pinguipedidae","Parapercis","nebulosa",3
"2019-08-Ningaloo_stereo-BRUVS",11.01,"Pomacanthidae","Chaetodontoplus","personifer",4
"2019-08-Ningaloo_stereo-BRUVS",11.02,"Balistidae","Sufflamen","fraenatum",1
"2019-08-Ningaloo_stereo-BRUVS",11.02,"Carangidae","Carangoides","chrysophrys",1
"2019-08-Ningaloo_stereo-BRUVS",11.02,"Lethrinidae","Gymnocranius","grandoculis",2
"2019-08-Ningaloo_stereo-BRUVS",11.02,"Lethrinidae","Lethrinus","nebulosus",2
"2019-08-Ningaloo_stereo-BRUVS",11.02,"Lethrinidae","Lethrinus","rubrioperculatus",2
"2019-08-Ningaloo_stereo-BRUVS",11.02,"Nemipteridae","Pentapodus","nagasakiensis",7
"2019-08-Ningaloo_stereo-BRUVS",11.02,"Pinguipedidae","Parapercis","nebulosa",2
"2019-08-Ningaloo_stereo-BRUVS",11.02,"Pomacanthidae","Pomacanthus","semicirculatus",2
"2019-08-Ningaloo_stereo-BRUVS",11.04,"Balistidae","Abalistes","filamentosus",1
"2019-08-Ningaloo_stereo-BRUVS",11.04,"Carangidae","Carangoides","chrysophrys",5
"2019-08-Ningaloo_stereo-BRUVS",11.04,"Carangidae","Decapterus","spp",8
"2019-08-Ningaloo_stereo-BRUVS",11.04,"Carangidae","Seriolina","nigrofasciata",1
"2019-08-Ningaloo_stereo-BRUVS",11.04,"Lethrinidae","Gymnocranius","grandoculis",1
"2019-08-Ningaloo_stereo-BRUVS",11.04,"Lutjanidae","Pristipomoides","multidens",3
"2019-08-Ningaloo_stereo-BRUVS",11.04,"Microdesmidae","Ptereleotris","sp1",1
"2019-08-Ningaloo_stereo-BRUVS",11.04,"Sparidae","Argyrops","spinifer",4
"2019-08-Ningaloo_stereo-BRUVS",11.06,"Balistidae","Abalistes","filamentosus",1
"2019-08-Ningaloo_stereo-BRUVS",11.06,"Carangidae","Carangoides","gymnostethus",2
"2019-08-Ningaloo_stereo-BRUVS",11.06,"Labridae","Unknown","sp8",2
"2019-08-Ningaloo_stereo-BRUVS",11.06,"Malacanthidae","Malacanthus","brevirostris",1
"2019-08-Ningaloo_stereo-BRUVS",11.06,"Nemipteridae","Nemipterus","spp",1
"2019-08-Ningaloo_stereo-BRUVS",11.06,"Nemipteridae","Pentapodus","nagasakiensis",1
"2019-08-Ningaloo_stereo-BRUVS",11.06,"Pinguipedidae","Parapercis","nebulosa",2
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Acanthuridae","Acanthurus","grammoptilus",1
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Balistidae","Sufflamen","fraenatum",2
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Carangidae","Carangoides","caeruleopinnatus",1
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Carangidae","Carangoides","chrysophrys",1
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Carangidae","Caranx","ignobilis",2
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Carangidae","Gnathanodon","speciosus",2
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Carcharhinidae","Carcharhinus","sp10",1
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Carcharhinidae","Triaenodon","obesus",1
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Haemulidae","Diagramma","pictum",1
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Labridae","Choerodon","jordani",4
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Lethrinidae","Lethrinus","nebulosus",1
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Lutjanidae","Pristipomoides","multidens",1
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Pinguipedidae","Parapercis","nebulosa",2
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Pomacanthidae","Pomacanthus","semicirculatus",1
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Scaridae","Scarus","ghobban",1
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Triakidae","Hemitriakis","falcata",1
"2019-08-Ningaloo_stereo-BRUVS",12.03,"Acanthuridae","Naso","hexacanthus",1
"2019-08-Ningaloo_stereo-BRUVS",12.03,"Balistidae","Abalistes","filamentosus",1
"2019-08-Ningaloo_stereo-BRUVS",12.03,"Balistidae","Sufflamen","fraenatum",2
"2019-08-Ningaloo_stereo-BRUVS",12.03,"Carangidae","Carangoides","gymnostethus",8
"2019-08-Ningaloo_stereo-BRUVS",12.03,"Echeneidae","Echeneis","naucrates",1
"2019-08-Ningaloo_stereo-BRUVS",12.03,"Lethrinidae","Gymnocranius","grandoculis",4
"2019-08-Ningaloo_stereo-BRUVS",12.03,"Lethrinidae","Gymnocranius","griseus",2
"2019-08-Ningaloo_stereo-BRUVS",12.03,"Lethrinidae","Lethrinus","nebulosus",2
"2019-08-Ningaloo_stereo-BRUVS",12.03,"Tetraodontidae","Lagocephalus","sceleratus",2
"2019-08-Ningaloo_stereo-BRUVS",12.04,"Balistidae","Abalistes","filamentosus",2
"2019-08-Ningaloo_stereo-BRUVS",12.04,"Carangidae","Carangoides","caeruleopinnatus",1
"2019-08-Ningaloo_stereo-BRUVS",12.04,"Carangidae","Carangoides","fulvoguttatus",1
"2019-08-Ningaloo_stereo-BRUVS",12.04,"Carangidae","Carangoides","gymnostethus",5
"2019-08-Ningaloo_stereo-BRUVS",12.04,"Carangidae","Decapterus","spp",31
"2019-08-Ningaloo_stereo-BRUVS",12.04,"Lethrinidae","Gymnocranius","grandoculis",2
"2019-08-Ningaloo_stereo-BRUVS",12.04,"Lethrinidae","Lethrinus","nebulosus",2
"2019-08-Ningaloo_stereo-BRUVS",12.04,"Lethrinidae","Lethrinus","rubrioperculatus",1
"2019-08-Ningaloo_stereo-BRUVS",12.04,"Lutjanidae","Pristipomoides","multidens",2
"2019-08-Ningaloo_stereo-BRUVS",12.05,"Balistidae","Sufflamen","fraenatum",1
"2019-08-Ningaloo_stereo-BRUVS",12.05,"Carangidae","Carangoides","gymnostethus",1
"2019-08-Ningaloo_stereo-BRUVS",12.05,"Carangidae","Seriola","dumerili",1
"2019-08-Ningaloo_stereo-BRUVS",12.05,"Lethrinidae","Gymnocranius","grandoculis",2
"2019-08-Ningaloo_stereo-BRUVS",12.05,"Lethrinidae","Gymnocranius","griseus",1
"2019-08-Ningaloo_stereo-BRUVS",12.05,"Lethrinidae","Lethrinus","nebulosus",2
"2019-08-Ningaloo_stereo-BRUVS",12.05,"Lethrinidae","Lethrinus","rubrioperculatus",2
"2019-08-Ningaloo_stereo-BRUVS",12.05,"Lutjanidae","Pristipomoides","multidens",3
